video_id,duration,time_stamp,sentences
_XWH06cPzJY,45.4,"[0.0, 45.4]","A man calls his two daughters into the bedroom where suitcases lay open on the bed, packed with their belongings and a couple of stuffed animals. The girls rush in, shrieking with delight when they are told they are going on a Disney cruise."
Y8FcmVZNK8Y,87.033333,"[0.0, 87.033]","Two young women in matching graphic tees are taking a selfie in the bathroom, their laughter echoing in the small space as one of them excitedly reveals a gift bag containing a roll of toilet paper."
YQBj3WWde30,103.833333,"[0.0, 103.833]","A futuristic video game unfolds with characters engaged in intense combat amidst a cityscape, the sounds of electronic music, gunfire, and character exclamations heightening the sense of action and chaos."
YcZUT5FBtJc,317.116811,"[0.0, 317.116]","The video starts with a black screen displaying white text that encourages viewers to reach the highest rank. Then, upbeat music begins playing as the screen transitions to a digital interface showing a leaderboard with usernames and rankings. The scene then shifts to a space battle with two spaceships, one red and one green, firing projectiles at each other, accompanied by intense trailer music. As the music fades, a hip-hop song starts playing, with lyrics about perseverance and overcoming challenges, while the video showcases dynamic space battles with multiple spaceships engaged in combat."
YkM_ZlUI5J8,561.994767,"[0.0, 561.994]","A young man, dressed in formal attire, delivers a speech at a podium on a stage decorated with flowers and a ""BRIDGTON ACADEMY"" banner, while a seated man listens attentively as the speaker recounts the life of James Hamlin, a man who overcame challenges and generously donated to the academy."
YxguQMKgaUk,102.033333,"[0.0, 102.033]","The video showcases a motorcycle, starting with close-ups of its handlebars and sleek design, then shows it parked on a grassy field. A man speaks, modifying the motorcycle's sound, as heard in the starting and idling engine noises, culminating in a powerful roar as the motorcycle speeds away."
TmqbLiW4cl8,62.56,"[4.52, 29.52]","A webpage about biopics is displayed, featuring a split image of a man, one side showing him in formal attire and the other in a casual pose. As the audio discusses cricket figures like Ravi Shastri and Azharuddin, the video transitions to close-up shots of a man wearing sunglasses, capturing his expressions and movements in various settings."
UqBQqY1g-ps,240.373467,"[0.0, 240.373]","The race begins with the roar of engines as the cars speed off, maneuvering for position on the curvy track, until a crash brings out the safety car, prompting a flurry of activity in the pit lane."
ME49XGmzzjg,86.519767,"[0.0, 86.519]","A martial arts training session takes place outdoors, starting with two individuals sparring with controlled movements, then transitioning to a dynamic demonstration of kicks and punches, and finally ending with a man powerfully striking a red punching bag.  The upbeat electronic and pop music sets an energetic atmosphere, while a man's voice periodically interjects, announcing the start of games and expressing gratitude to sponsors."
McfK9Zi3HDY,55.72,"[0.0, 55.72]","The video opens with a panoramic view of Lake Garda, the camera panning over sailboats gently bobbing on the calm waters against a backdrop of majestic mountains. As a woman speaks about the strong winds at Torvalet, the scene shifts to show windsurfers cutting through the choppy water, their colorful sails billowing."
JS-7WQLMkXE,225.666667,"[0.5, 216.0]","As the soccer match unfolds under the bright floodlights, players in vibrant jerseys chase the ball across the well-maintained field, their movements a blur of athleticism and teamwork, while spectators watch from the sidelines, their cheers and applause adding to the electric atmosphere."
L1ZkHoirlmo,45.72,"[4.04, 35.59619047619048]","A woman, comfortably seated indoors, gently cradles and feeds her baby from a bottle, while a voice explains the nuances of breastfeeding, emphasizing the importance of proper positioning and latching techniques for newborns."
L9SqKlQn69c,153.219733,"[4.971, 146.813]","A man dressed as Santa Claus is standing outside a house decorated with Christmas lights, talking to a woman who had been hoping to win a snowblower."
C7_yXTIwxmA,47.563183,"[0.0, 47.563]",A baby wearing a gray onesie with an orange logo is being fed with a bottle while looking curiously at the camera and making cooing sounds.
CHpFQ4smFz0,236.267266,"[0.0, 236.267]","A man, accompanied by his dog, spends a peaceful day fishing by a serene river, casting his line into the calm water as his dog watches attentively from the bank and occasionally takes a dip in the water."
DYQMViyqMnU,205.633333,"[0.0, 205.633]","The video starts with a view from inside a parked car before it begins to drive through city streets and then onto a highway, the overcast sky and passing cars reflected on the windshield.  A standup comedian can be heard telling jokes, followed by the distinct sounds of a car starting and driving away."
BBcu4EclgOs,163.633333,"[0.0, 163.633]","The video starts with a first-person view of a player navigating a lush, green environment in a game, armed with a weapon. The player, wearing a pink outfit, explores the terrain as upbeat music with lyrics about life's struggles and self-reliance plays in the background."
BcFpM4upfxo,76.066667,"[6.6, 75.666]","The video starts with a close-up of a shiny black SUV, showcasing its exterior as a woman's voice highlights its features and affordable price. The camera then pans to the car's interior, focusing on the spacious backseats with black leather upholstery, while the audio transitions to a conversation about the car's heated seats. As the video continues, it moves to a close-up of the center console with its touchscreen display, accompanied by upbeat pop music playing in the background."
5YRfsnXhq14,85.552133,"[0.0, 85.552]","A man, presumably named Geno, is in a showroom introducing the features of a black Harley Davidson motorcycle to the viewers while the camera pans across the motorcycle to show its details."
6NBjm9jQVHI,208.6,"[15.166, 200.166]","A group of tourists is walking through ancient ruins on a sunny day, later, a man speaks to the camera about the historical significance of the site, with the ruins standing majestically behind him."
6RGTgYM1mwk,57.033333,"[7.8, 50.833]","A silver 2010 Dodge Grand Caravan SE is parked in front of a dealership, its yellow sale signs prominent in the tinted windows.  A woman's voice describes the minivan's features and safety ratings, highlighting its spacious interior, family-friendly design, and low mileage."
6Rfvlxpc7xs,214.447567,"[0.0, 211.93160997732426]","A female singer in a white top and a checkered skirt performs with her band, the bright stage lights illuminating the energetic atmosphere."
6j2Y6V3U-Lc,363.28,"[16.2, 354.6615873015873]","Four men in formal attire are having a discussion about the upcoming Gold Cup horse race, analyzing the strengths and weaknesses of various contenders, while sitting at a table with the ""Star Sports"" logo in the background."
714uCusHL4o,103.770333,"[4.963, 99.265]","A man in a UConn jacket speaks to the camera on a football field, expressing his disappointment about a player's upcoming surgery and the need for other players to step up in his absence."
fcasgJw8jbg,66.64,"[0.0, 66.64]","This video showcases the beauty of a vintage car, starting with close-ups of its intricate dashboard and steering wheel before panning out to reveal its sleek exterior as it drives down a winding road. The driver's hands confidently navigate the car, their voice providing commentary on the car's features and the picturesque scenery."
fsG0QmTqhio,37.166667,"[0.0, 37.166]","Inside a brightly lit store, three women laugh and chat, one sporting a patriotic top, their drinks in hand suggesting a casual celebration. As a woman raps about her summer plans, two of them break into a lively dance in front of the store shelves, their movements energetic and playful."
fx9wANarmj0,133.8337,"[0.0, 133.7]","A marching band in red and white uniforms performs on stage, their synchronized movements accompanied by the lively music from their instruments and the rhythmic waving of blue and white flags."
gf-H5OBP9jI,30.063,"[25.025, 30.063]","A promotional graphic for the Democratic Debate, co-hosted by PBS NewsHour and POLITICO, fills the screen, while in the background, a man and a woman engage in a conversation."
h37mxfmaZiM,194.143602,"[0.0, 194.143]","As a marching band takes the field at night, illuminated by bright stadium lights, an announcer introduces their ""magical"" performance. The band begins to play, their synchronized movements captivating the cheering crowd."
hKkycSsq__E,30.666667,"[1.166, 22.166]","A stylized animal, wearing an apron, happily picks ripe red apples from a lush green tree and prepares a delicious apple pie, meticulously arranging the apples and pouring apple sauce into the pie dish, as a cheerful voice narrates the story of Archie, who loves to make apple sauce and pie."
12UhbTNX3Cg,159.192367,"[0.0, 159.192]","In a spacious room with wooden floors and white walls, a diverse group of people energetically follow along to their instructor's dance routine as upbeat music plays in the background."
-p1bAo2wbNA,54.866667,"[0.0, 54.866]","A man dressed in black performs an energetic dance routine in front of a seated audience, spinning and twirling to the rhythm of a pop song, eliciting cheers and claps from the captivated onlookers."
xxkw6OT_flM,165.856655,"[1.004, 73.32861678004535]","A young girl sits at a table in a classroom, attentively listening as a woman in a ""Shark Side"" t-shirt stands and talks about vertebrates and invertebrates, her voice filling the brightly lit room."
xxkw6OT_flM,165.856655,"[74.268, 159.157]","The woman continues her presentation on marine animals, using a screen displaying a Venn diagram to illustrate the difference between vertebrates and invertebrates. She walks around the room, gesturing expressively as she explains that while both exist in the ocean, invertebrates are far more common.  Her voice echoes slightly in the room as she jokes with the class about the abundance of ""critters"" that could be found in a messy room."
y1k5C4QNqwY,288.872562,"[0.0, 259.25079365079364]","The video takes viewers on a journey from the driver's seat, cruising down winding roads through lush countryside, quaint towns, and serene wooded areas, accompanied by the sounds of the engine, nature, and occasional music and chatter."
y1k5C4QNqwY,288.872562,"[259.283, 288.872]","The car smoothly navigates a winding road bordered by a stone wall and open fields, the dashboard and steering wheel visible from the passenger side as a conversation filled with laughter can be heard, the driver commenting on the car's power with a chuckle."
utme9QjyLNE,108.273333,"[7.465, 11.553]","A stylized, glossy black ""DW"" logo on a white background dominates the screen as a man begins speaking, emphasizing the ""DESIGN IMPOSSIBLE"" message displayed below."
utme9QjyLNE,108.273333,"[11.553, 104.4]","As the ""DW"" logo fades, a man speaking with an accent introduces his new YouTube channel about high-end design software, his voice accompanied by a simple Notepad document listing software like ""CREO"" and ""SOLIDWORKS"" on a Windows computer."
vZ4NNm2K6ks,170.60377,"[0.0, 2.602]","A marching band, dressed in blue jackets and white pants, parades down a snow-dusted street at night, their instruments booming out lively music that mingles with the cheers of the crowd gathered along the brightly lit street."
vZ4NNm2K6ks,170.60377,"[2.602, 170.603]","A marching band, illuminated by the city lights, parades down the street, their instruments booming out a lively melody that mingles with the cheers of the crowd and the festive sounds of the city."
vqQhq_1JnFE,51.44,"[4.76, 27.36]","The video begins with a man in uniform speaking to the camera in what looks like a control room full of monitors displaying maps and data. The scene then cuts to a close-up of someone typing on a keyboard before returning to the man in uniform, now wearing a headset and apparently engaged in a phone call. As the man continues to work, looking down at his computer, the audio describes the demanding work of a radio operator who must handle a variety of emergencies with calm and efficiency.  Finally, the video shows two men in uniform standing in a busy office, suggesting they may be the radio operators being discussed."
vqQhq_1JnFE,51.44,"[27.36, 48.08]","The video shifts from a man in a police uniform in a bustling control room to a close-up of hands typing quickly on a keyboard, accompanied by the clattering of keys. The scene then cuts back to the man, now wearing a headset and attentively listening as he speaks into the receiver."
r8G8byiQ5Nc,83.833333,"[14.9, 60.566]","A woman with short hair, wearing a black jacket and a striped shirt, is standing in a well-lit room, addressing a group of people. She is smiling and seems to be enjoying a conversation at first, but as she continues speaking, her expression turns serious, suggesting she might be giving a presentation in a professional setting."
r8G8byiQ5Nc,83.833333,"[60.566, 64.62113378684808]","The man in the suit smiles as he walks through the conference hall, passing by tables covered with informational materials and other professionals engaged in conversations.  A man's voice can be heard off-screen, continuing the previous conversation about judging criteria."
sNm_rmkzt3Y,41.075729,"[0.0, 12.236916099773243]",The bride and groom are joyfully dancing in the middle of the dance floor as the purple disco ball casts a vibrant hue over the reception.  The festive atmosphere is enhanced by the upbeat hip hop music playing in the background.
sNm_rmkzt3Y,41.075729,"[13.179, 41.075]","As the upbeat pop song fills the air, the bride, now sporting stylish sunglasses, dances energetically in her black dress, surrounded by friends who are also on the dance floor."
lxK1YI644Lw,68.64,"[9.56, 18.320544217687075]","As soothing music plays, the image focuses on a purple yoga mat, neatly rolled out and ready for a core workout, as indicated by the instructional text above."
lxK1YI644Lw,68.64,"[18.4, 60.2]","Following the instructions on the screen, the woman lies on the mat with her arms and legs raised, slowly lifting her torso to touch her heels in rhythm with the upbeat pop and electronic music playing in the gym."
mmuViuXyhfo,150.9508,"[14.28, 34.167]","A man in a blue polo, standing behind a table with two power inverters, explains the features of a 3000-watt model, gesturing towards it with his hand."
mmuViuXyhfo,150.9508,"[34.167, 148.681]","A man in a blue polo is standing at a trade show booth, enthusiastically explaining the features of a Xantrex power inverter, highlighting its true sine wave technology and remote control capabilities."
o0LY74Q2BOs,78.92,"[0.0, 8.057324263038549]","A stylized blue scorpion takes center stage against a dark backdrop, illuminated by beams of light as a sword being drawn, followed by an explosion and a woman's scream, play out in the background."
o0LY74Q2BOs,78.92,"[8.8, 77.83637188208617]","As a stylized blue scorpion explodes on a dark background, a woman with long dark hair, wearing a black and white patterned top, appears on screen and speaks directly to the camera against a vibrant, striped background, maintaining a neutral expression throughout the video."
o0MMAUX2dCo,62.433333,"[10.0, 57.02820861678005]","A large white semi-truck, parked in front of a brick building with a ""SOLD"" sign, idles loudly on an overcast day, the sound reverberating off the building. As a man approaches, he speaks excitedly about the truck, his voice nearly drowned out by the engine and a honking horn."
o0MMAUX2dCo,62.433333,"[57.433, 62.433]","As the semi-truck sale concludes, the word ""SOLD"" fills the screen, dramatically illuminated against a black background, accompanied by the excited voices of a man and a woman celebrating the deal."
k53NKmTcnZ8,210.133333,"[14.166, 27.531065759637187]","A close-up shot reveals a sleek device, possibly a Nokia phone, displaying a simple instruction to turn on a light. As electronic music plays, the scene transitions to a presentation slide showcasing the rugged Nokia 800 Tough phone against a blue backdrop, while the music shifts to a metal genre."
k53NKmTcnZ8,210.133333,"[28.333, 210.133]","A man, standing before a large screen showcasing the Nokia 800 Tough phone, details its impressive durability and battery life, emphasizing its military-grade construction and showcasing its features with accompanying visuals of people using the phone in various scenarios."
kHEIxjGZFfY,83.7837,"[0.0, 77.61]","A man, standing in front of a car with its hood open, shows off a small, rectangular anti-gravity battery jump starter, explaining that he's never used it before but is going to try and start his car with a flat battery."
kHEIxjGZFfY,83.7837,"[77.61, 83.783]","The man, having successfully jump-started his car using the device, exclaims, ""Well, that does prove it works,"" as the camera focuses on the intricate details of the car engine, its polished components gleaming under the hood."
crEbc_uPl5g,143.733333,"[0.0, 10.066]","Against a white background, a small brown pixelated block appears in the center, soon joined by other colorful blocks, while an upbeat electronic pop song plays."
crEbc_uPl5g,143.733333,"[15.066, 143.666]","A man speaks in a foreign language, demonstrating how to download music from YouTube on a cracked tablet, the screen changing as he navigates through the process, eventually playing a snippet of electronic pop music."
cyQJml1jA-4,69.458333,"[4.705, 40.542040816326534]","A white Ford Focus, with its sleek design and sporty features like alloy wheels and a rear spoiler, is presented in a dealership lot while a man details its specifications, including its engine, transmission, and various features."
cyQJml1jA-4,69.458333,"[40.559, 69.458]","The video transitions from the exterior of the white Ford Focus to a close-up shot of the car's interior, showcasing its modern design and features like Bluetooth connectivity, a manual gear shift, and various safety features, as a man's voice highlights them."
bOb7bmd0IpE,188.555033,"[0.0, 86.378231292517]","A man passionately sings on an outdoor stage, bathed in the warm glow of the setting sun, as the crowd raises their hands, swaying to the rhythm of the music."
bOb7bmd0IpE,188.555033,"[87.153, 188.555]","As the sun sets, casting a warm glow on the stage, the man continues his passionate performance, transitioning from soulful Rhythm & Blues to upbeat Pop songs, the crowd's energy echoing his as they sing along, their hands raised in unison."
bmikC7Q_cCo,125.0249,"[0.0, 66.03755102040816]","A sleek gray sedan sits parked in a car dealership lot, as a woman's voice cheerfully lists its features, from its spacious interior to its impressive safety features."
bmikC7Q_cCo,125.0249,"[66.099, 125.024]","As upbeat pop music plays, the camera pans around the interior of the car, showing off the sleek black leather seats with red stitching and the sporty manual gear shift."
bsMWDyBpDsM,37.137,"[2.902, 17.484625850340137]","A group of hikers are walking on a dusty road towards their campsite, having completed their hike. The man leading the group, slightly obscured by wind noise, announces their return and discusses their final mileage."
bsMWDyBpDsM,37.137,"[17.817, 37.137]","A group of hikers arrives at their campsite after 11 days on the trail, their tents arrayed across a large, open field beneath a partly cloudy sky."
ZfP-mTFTJcc,132.9328,"[16.549, 124.691]","A family of three, bathed in the warm glow of twinkling lights, smiles for a photo, then the scene shifts as they begin talking about their travel adventures, sharing stories of amusement parks, zoos, and a memorable road trip across America."
ZfP-mTFTJcc,132.9328,"[124.691, 132.932]","As a black and white photograph of three people sharing a joyful moment appears on screen, a woman speaks firmly, her voice overlapping with the end of a man's sentence as he wraps up the first episode of a podcast."
aCE8ShZ-jUE,60.033333,"[5.0, 9.079002267573696]","As the electronic music fades, the video transitions to display the ""FXEMPIRE"" logo, with its green ""FX"" and blue ""EMPIRE"" text, against a minimalist gray background, accompanied by a tagline attributing their technical analysis to ""IG,"" represented by a red logo at the bottom."
aCE8ShZ-jUE,60.033333,"[14.7, 60.033]","A man is analyzing a candlestick chart of the GBP/USD currency pair, pointing out a recent rally and highlighting a significant level at 1.3333, while anticipating the Federal Reserve's statement impact on the market."
XRVAdIQ6RzY,40.407033,"[0.0, 6.006]","The video opens with the title ""Beauchain Builders"" displayed against a gradient blue background, followed by a montage of images showcasing the company's portfolio of homes and commercial buildings. Although a man's voice can be heard, the source is not visible, and he speaks about the value a deck can add to a home."
XRVAdIQ6RzY,40.407033,"[10.977, 13.513]","As the man continues to extol the virtues of outdoor living, the video transitions to showcase a luxurious pool with a gently curved edge, framed by a pristine wooden deck, all captured beneath a vibrant blue sky."
XdDESCBRIXk,305.538567,"[9.109, 158.958]","A man is adjusting the settings on a large soundboard, preparing for a concert. Behind him, the stage is set up on a flatbed trailer, illuminated by stage lights.  He talks about the process of setting up the elaborate sound system, which started weeks ago.  Later, a group of people gather around the truck, some enjoying food from boxes."
XdDESCBRIXk,305.538567,"[158.958, 264.364]","The camera zooms in on the sound mixing console, showcasing the sound engineer's hands expertly navigating the faders and knobs.  A man with curly hair, illuminated by the console's lights, explains that while he doesn't get much of a break during the concert, he enjoys ""playing with the world's biggest stereo system."" As the music starts and the crowd cheers, the scene shifts to a backstage view, where the sound engineers remain hard at work ensuring a seamless audio experience for the audience."
YZYYVnB0lB8,107.398958,"[5.964, 30.30204081632653]","A man dressed in a suit sits against a white background, gesturing with his right hand as he explains what a J curve is in private equity."
YZYYVnB0lB8,107.398958,"[35.744, 97.347]","A simple line graph illustrating a decline in investment over time is replaced by a J-curve graph, as a man explains the concept of a J-curve in private equity, his voice accompanied by occasional background music."
YttyCifTup0,542.1,"[0.0, 129.133]","A woman sits at her kitchen table and prepares a breakfast of eggs, potatoes, avocado, and ham, explaining her food choices as she adds cheese to a tortilla."
YttyCifTup0,542.1,"[130.133, 542.1]","The woman sits at her dining table and enjoys her meal of pasta with cheese, occasionally talking with someone off-camera about Korean food and her preference for spicy flavors."
Vu60fZgUVf4,90.9909,"[10.243, 75.809]","Two women, one with short curly hair in a light blazer and the other with long braided hair in a red shirt, sit side-by-side. The woman in the blazer introduces herself as Radia Scott Walker from Lexington, Kentucky, but shares that she grew up in rural Alabama during the segregated era, her words bringing a sense of reflection to her friendly smile."
Vu60fZgUVf4,90.9909,"[80.78, 90.99]","Over a textured background reminiscent of mosaic tiles, the words ""NATIONAL MUSEUM of AFRICAN AMERICAN HISTORY & CULTURE"" stand out, while a bold ""SUBSCRIBE NOW"" encourages viewers to engage as upbeat pop music transitions to the sound of a man starting to speak."
Vv2KnmgUt-s,141.115157,"[0.0, 24.354]","A large crowd gathered in an arena, their cell phones glowing like fireflies as a band played on the brightly lit stage. The music, a blend of punk and pop, filled the air, punctuated by the cheers of the audience."
Vv2KnmgUt-s,141.115157,"[24.855, 141.115]","The concert venue pulsates with energy as the band transitions from punk rock to a blend of pop and metal, captivating the massive crowd who wave their hands and sing along to the vibrant music."
WmDrqru_twQ,30.196833,"[0.0, 7.807]","The pitcher winds up and hurls the ball towards home plate as the batter swings, with the intense action captured against the backdrop of a sunny baseball field filled with cheering fans."
WmDrqru_twQ,30.196833,"[9.776, 26.793]","The video transitions from a close-up of a man holding a baseball, likely examining it before a throw, to a wider shot of the bustling stadium with fans cheering as the game continues. You can hear the excited chatter of the crowd and a man describing the action, remarking on a fan's impressive catch."
U9kmCETbOxk,154.76,"[5.0, 144.48]","A woman is giving a presentation on stage at a TEDx event, advocating for the importance of women in tech and promoting her idea for an online platform to inspire and empower girls interested in the field."
U9kmCETbOxk,154.76,"[145.08, 148.8259410430839]","As the speaker finishes her talk, the audience erupts in enthusiastic applause, their cheers echoing through the auditorium as a photo of Jessica Ingrey is displayed on the screen behind her."
UDoQsT84auo,76.04,"[0.0, 67.12]","A man in a black suit and gray cap rubs his face contemplatively before a peaceful gathering of people dressed in traditional attire, their soft chanting filling the air as they sit in rows on a blue mat spread across the ground."
UDoQsT84auo,76.04,"[67.12, 76.04]","A group of men, dressed in traditional attire, solemnly walk single file down a narrow path through the lush green woods, their quiet conversation a stark contrast to the earlier chanting."
UV43ALRlzmE,169.536033,"[0.0, 148.715]","A large blue and yellow industrial machine, illuminated by factory lights, hums and whirs as its various components move and interact, while a man explains its operation and functionality."
UV43ALRlzmE,169.536033,"[148.715, 169.536]","The large blue and yellow machine continues to operate, its metal and plastic parts moving rhythmically, accompanied by the loud whirring and hissing of machinery, as the operator expertly manipulates its levers."
UZvpYQ-45No,42.666667,"[0.0, 26.033]","A young girl, bathed in soft light against a patterned wall, sits thoughtfully, her hand resting on her forehead, as a nearby conversation about spirits and a mysterious ""she"" unfolds."
UZvpYQ-45No,42.666667,"[26.033, 42.666]","The young girl, now seated on a leather couch, playfully makes faces at the camera, sticking out her tongue as a woman's voice, perhaps from off-screen, can be heard disagreeing and mentioning ""one of them"" and a ""club."""
UcKNIHy3aeQ,176.332926,"[0.0, 12.956734693877552]","A woman in a sparkling pink dress stands on stage, belting out a festive tune as the violin and piano accompany her merry melody."
UcKNIHy3aeQ,176.332926,"[15.839, 176.332]","As the woman in a pink gown belts out a Christmas song on stage, the backdrop alternates between a brightly lit Christmas tree and a sparkling star, creating a festive and visually dynamic performance."
UmQe121ktuE,97.6,"[10.0, 15.0]","A blonde woman, identified as Ciara Donlon, Founder & CEO of THEYA Healthcare, is speaking in a professional setting, addressing the pain points of women by turning them into design features."
UmQe121ktuE,97.6,"[20.0, 75.6]","Ciara demonstrates how to adjust the straps and back of a THEYA Healthcare bra, emphasizing its comfortable fit and suitability for post-surgery recovery, while explaining the design process and the benefits of the bamboo fabric, which is scientifically proven to be antibacterial and more absorbent than cotton."
MJiQqWDr_lc,248.133333,"[0.0, 138.2748299319728]","A lively group of dancers in coordinated blue outfits perform on a stage adorned with colorful curtains and a large screen displaying Japanese text, their energetic movements accompanied by upbeat pop music and the cheers of the audience."
MJiQqWDr_lc,248.133333,"[138.566, 245.433]","The energetic dance performance continues on the stage, the dancers in blue moving in sync to the pop music as the audience claps along. A large white teddy bear stands out against the stage curtains, adding a playful touch to the lively atmosphere."
JdACOoKdgAQ,97.466667,"[0.733, 6.4]","As the energetic punk music kicks in, the video showcases a minimalist design: white boxes containing letters float against a clean background, gradually arranging themselves to form the title card ""The ChannelPro Network"" in bold lettering."
